 ,XM,YM
1331,785.993,984.926
1332,619.852,986.434
1333,691.852,988.539
1334,743.722,988.561
1335,938.436,987.307
1336,426.700,984.300
1337,1091.403,995.301
1338,467.007,993.572
1339,966.150,998.243
1340,883.587,997.032
1341,588.537,997.145
1342,376.202,998.340
1343,997.962,998.521
1344,515.359,1000.000
1345,419.802,1004.558
1346,564.908,1007.950
1347,931.104,1006.500
1348,340.808,1008.876
1349,1067.802,1012.769
1350,456.578,1008.422
1351,1019.095,1012.161
1352,653.981,1013.330
1353,781.972,1015.780
1354,382.983,1017.304
1355,584.592,1018.492
1356,877.367,1017.167
1357,405.339,1020.339
1358,544.739,1019.550
1359,862.096,1020.390
1360,526.820,1021.770
1361,846.099,1023.827
1362,760.551,1025.022
1363,926.147,1024.907
1364,894.895,1027.895
1365,699.540,1030.218
1366,732.430,1029.921
1367,440.444,1031.852
1368,601.500,1029.500
1369,632.659,1030.477
1370,783.432,1032.637
1371,1039.293,1030.878
1372,469.000,1031.462
1373,360.883,1033.557
1374,820.765,1034.417
1375,490.770,1035.953
1376,673.019,1033.685
1377,616.056,1036.583
1378,576.675,1039.253
1379,653.382,1038.842
1380,1052.303,1040.398
1381,511.021,1041.046
1382,801.000,1045.412
1383,379.350,1048.294
1384,921.003,1054.102
1385,428.353,1049.737
1386,606.944,1048.525
1387,500.000,1044.500
1388,529.500,1051.087
1389,627.000,1059.120
1390,1033.315,1059.282
1391,656.809,1062.546
1392,779.006,1062.477
1393,799.367,1060.520
1394,396.603,1064.962
1395,570.632,1064.888
1396,872.833,1066.519
1397,593.306,1065.449
1398,853.540,1066.836
1399,545.279,1069.714
1400,419.711,1071.811
1401,636.000,1075.090
1402,838.608,1076.542
1403,889.378,1078.629
1404,1010.368,1077.991
1405,608.277,1082.857
1406,436.396,1087.649
1407,565.033,1085.711
1408,662.929,1089.006
1409,772.887,1088.984
1410,807.000,1089.500
1411,921.955,1091.303
1412,905.739,1090.376
1413,591.178,1092.102
1414,546.272,1093.451
1415,997.224,1094.334
1416,629.234,1094.930
1417,832.810,1097.810
1418,576.016,1102.158
1419,458.290,1102.703
1420,952.779,1103.118
1421,556.674,1111.609
1422,485.836,1114.996
1423,640.449,1114.150
1424,971.201,1114.846
1425,814.127,1116.924
1426,664.090,1117.791
1427,771.584,1117.752
1428,950.452,1123.924
1429,504.644,1127.144
1430,928.465,1128.372
1431,533.915,1132.952
1432,567.683,1137.078
1433,821.058,1136.072
1434,900.669,1135.894
1435,647.096,1136.864
1436,671.029,1141.105
1437,764.813,1141.152
1438,878.858,1149.738
1439,831.070,1151.056
1440,854.601,1156.500
1441,584.455,1156.522
1442,643.000,1159.402
1443,798.225,1169.452
1444,609.962,1169.376
1445,632.346,1176.198
1446,652.605,1178.049
1447,675.721,1180.172
1448,759.932,1180.258
1449,701.067,1186.585
1450,734.755,1186.624
